PF10417.8 C-terminal_domain_of_1-Cys_peroxiredoxin
PF12574.7 120_KDa_Rickettsia_surface_antigen
PF09847.8 Membrane_protein_of_12_TMs
PF00244.19 14-3-3_protein
PF16998.4 17_kDa_outer_membrane_surface_antigen
PF00389.29 D-isomer_specific_2-hydroxyacid_dehydrogenase,catalytic_domain
PF02826.18 D-isomer_specific_2-hydroxyacid_dehydrogenase,NAD_binding_domain
PF00198.22 2-oxoacid_dehydrogenases_acyltransferase_(catalytic_domain)
PF16078.4 2-oxoglutarate_dehydrogenase_N-terminus
PF04029.13 2-phosphosulpholactate_phosphatase
PF16620.4 Unstructured_linker_between_I-set_domains_2_and_3_on_MYLCK
PF05635.10 23S_rRNA-intervening_sequence_protein
PF08521.9 Two-component_sensor_kinase_N-terminal
PF08793.9 2-cysteine_adaptor_domain
PF11591.7 Ferredoxin_chloroplastic_transit_peptide
PF01257.18 Thioredoxin-like_[2Fe-2S]_ferredoxin
PF08975.9 Domain_of_unknown_function_(DUF1868)
PF03390.14 2-hydroxycarboxylate_transporter_family
PF03171.19 2OG-Fe(II)_oxygenase_superfamily
PF13532.5 2OG-Fe(II)_oxygenase_superfamily
PF13640.5 2OG-Fe(II)_oxygenase_superfamily
PF13661.5 2OG-Fe(II)_oxygenase_superfamily
PF13759.5 Putative_2OG-Fe(II)_oxygenase
PF10014.8 2OG-Fe_dioxygenase
PF13239.5 2TM_domain
PF13563.5 2'-5'_RNA_ligase_superfamily
PF03475.13 3-alpha_domain
PF06983.12 3-demethylubiquinone-9_3-methyltransferase
PF06052.11 3-hydroxyanthranilic_acid_dioxygenase
PF12578.7 Myotubularin-associated_protein
PF00803.17 3A/RNA2_movement_protein_family
PF01073.18 3-beta_hydroxysteroid_dehydrogenase/isomerase_family
PF06725.10 3D_domain
PF02829.13 3H_domain
PF10605.8 3HB-oligomer_hydrolase_(3HBOH)
PF00725.21 3-hydroxyacyl-CoA_dehydrogenase,C-terminal_domain
PF02737.17 3-hydroxyacyl-CoA_dehydrogenase,NAD_binding_domain
PF16121.4 40S_ribosomal_protein_S4_C-terminus
PF16122.4 40S_ribosomal_protein_SA_C-terminus
PF04419.13 4F5_protein_family
PF03061.21 Thioesterase_superfamily
PF13279.5 Thioesterase-like_superfamily
PF13622.5 Thioesterase-like_superfamily
PF12729.6 Four_helix_bundle_sensory_module_for_signal_transduction
PF04476.12 4-HFC-P_synthase
PF05902.12 4.1_protein_C-terminal_domain_(CTD)
PF01812.19 5-formyltetrahydrofolate_cyclo-ligase_family
PF06189.11 5'-nucleotidase
PF09038.9 Tumour_suppressor_p53-binding_protein-1_Tudor
PF03491.12 Serotonin_(5-HT)_neurotransmitter_transporter,N-terminus
PF07694.11 5TMR_of_5TMR-LYT
PF01367.19 5'-3'_exonuclease,C-terminal_SAM_fold
PF02739.15 5'-3'_exonuclease,N-terminal_resolvase-like_domain
PF05761.13 5'_nucleotidase_family
PF02872.17 5'-nucleotidase,C-terminal_domain
PF02096.19 60Kd_inner_membrane_protein
PF01591.17 6-phosphofructo-2-kinase
PF00393.18 6-phosphogluconate_dehydrogenase,C-terminal_domain
PF02495.16 7kD_viral_coat_protein
PF02294.17 7kD_DNA-binding_domain
PF07698.10 7TM_receptor_with_intracellular_HD_hydrolase
PF07696.10 7TMR-DISM_extracellular_2
PF07695.10 7TM_diverse_intracellular_signalling
PF07697.10 7TM-HD_extracellular
PF00001.20 7_transmembrane_receptor_(rhodopsin_family)
PF00002.23 7_transmembrane_receptor_(Secretin_family)
PF00003.21 7_transmembrane_sweet-taste_receptor_of_3_GCPR
PF13853.5 Olfactory_receptor
PF02949.19 7tm_Odorant_receptor
PF08395.11 7tm_Chemosensory_receptor
PF02117.15 Serpentine_type_7TM_GPCR_chemoreceptor_Sra
PF10292.8 Serpentine_type_7TM_GPCR_receptor_class_ab_chemoreceptor
PF02175.15 Serpentine_type_7TM_GPCR_chemoreceptor_Srb
PF10316.8 Serpentine_type_7TM_GPCR_chemoreceptor_Srbc
PF10317.8 Serpentine_type_7TM_GPCR_chemoreceptor_Srd
PF10318.8 Serpentine_type_7TM_GPCR_chemoreceptor_Srh
PF10327.8 Serpentine_type_7TM_GPCR_chemoreceptor_Sri
PF10319.8 Serpentine_type_7TM_GPCR_chemoreceptor_Srj
PF10320.8 Serpentine_type_7TM_GPCR_chemoreceptor_Srsx
PF10321.8 Serpentine_type_7TM_GPCR_chemoreceptor_Srt
PF10322.8 Serpentine_type_7TM_GPCR_chemoreceptor_Sru
PF10323.8 Serpentine_type_7TM_GPCR_chemoreceptor_Srv
PF10324.8 Serpentine_type_7TM_GPCR_chemoreceptor_Srw
PF10328.8 Serpentine_type_7TM_GPCR_chemoreceptor_Srx
PF10325.8 Serpentine_type_7TM_GPCR_chemoreceptor_Srz
PF10326.8 Serpentine_type_7TM_GPCR_chemoreceptor_Str
PF14402.5 7_transmembrane_helices_usually_fused_to_an_inactive_transglutaminase
PF17028.4 8TM_Microsporidial_transmembrane_domain
PF07388.10 Alpha-2,8-polysialyltransferase_(POLYST)
PF07966.11 A1_Propeptide
PF08792.9 A2L_zinc_ribbon_domain
PF00207.21 Alpha-2-macroglobulin_family
PF07678.13 A-macroglobulin_complement_component
PF01835.18 MG2_domain
PF07703.13 Alpha-2-macroglobulin_family_N-terminal_region
PF07677.13 A-macroglobulin_receptor
PF00004.28 ATPase_family_associated_with_various_cellular_activities_(AAA)
PF09820.8 Predicted_AAA-ATPase
PF12846.6 AAA-like_domain
PF13086.5 AAA_domain
PF13087.5 AAA_domain
PF13166.5 AAA_domain
PF13173.5 AAA_domain
PF13175.5 AAA_ATPase_domain
PF13191.5 AAA_ATPase_domain
PF13207.5 AAA_domain
PF13238.5 AAA_domain
PF13245.5 AAA_domain
PF07724.13 AAA_domain_(Cdc48_subfamily)
PF13304.5 AAA_domain,putative_AbiEii_toxin,Type_IV_TA_system
PF13401.5 AAA_domain
PF13476.5 AAA_domain
PF13479.5 AAA_domain
PF13481.5 AAA_domain
PF13500.5 AAA_domain
PF13514.5 AAA_domain
PF13521.5 AAA_domain
PF13555.5 P-loop_containing_region_of_AAA_domain
PF07726.10 ATPase_family_associated_with_various_cellular_activities_(AAA)
PF13604.5 AAA_domain
PF13614.5 AAA_domain
PF13654.5 AAA_domain
PF13671.5 AAA_domain
PF13872.5 P-loop_containing_NTP_hydrolase_pore-1
PF14516.5 AAA-like_domain
PF07728.13 AAA_domain_(dynein-related_subfamily)
PF12774.6 Hydrolytic_ATP_binding_site_of_dynein_motor_region_D1
PF12775.6 P-loop_containing_dynein_motor_region_D3
PF12780.6 P-loop_containing_dynein_motor_region_D4
PF12781.6 ATP-binding_dynein_motor_region_D5
PF14363.5 Domain_associated_at_C-terminal_with_AAA
PF16193.4 AAA_C-terminal_domain
PF09821.8 C-terminal_AAA-associated_domain
PF08298.10 PrkA_AAA_domain
PF04611.11 Mating_type_protein_A_alpha_Y_mating_type_dependent_binding_region
PF03306.12 Alpha-acetolactate_decarboxylase
PF05282.10 AAR2_protein
PF08142.11 AARP2CN_(NUC121)_domain
PF03417.15 Acyl-coenzyme_A:6-aminopenicillanic_acid_acyl-transferase
PF07247.11 Alcohol_acetyltransferase
PF13339.5 Apoptosis_antagonizing_transcription_factor
PF00696.27 Amino_acid_kinase_family
PF00324.20 Amino_acid_permease
PF13520.5 Amino_acid_permease
PF13906.5 C-terminus_of_AA_permease
PF08403.9 Amino_acid_permease_N-terminal
PF06684.10 Amino_acid_synthesis
PF01490.17 Transmembrane_amino_acid_transporter_protein
PF07336.10 Putative_stress-induced_transcription_regulator
PF12430.7 Abscisic_acid_G-protein_coupled_receptor
PF02496.15 ABA/WDS_induced_protein
PF14156.5 Antirepressor_AbbA
PF00950.16 ABC_3_transport_family
PF03109.15 ABC1_family
PF01061.23 ABC-2_type_transporter
PF12679.6 ABC-2_family_transporter_protein
PF12698.6 ABC-2_family_transporter_protein
PF12730.6 ABC-2_family_transporter_protein
PF13346.5 ABC-2_family_transporter_protein
PF06182.10 ABC-2_family_transporter_protein
PF09818.8 Predicted_ATPase_of_the_ABC_class
PF09819.8 ABC-type_cobalt_transport_system,permease_component
PF16962.4 Putative_ABC_exporter
PF00664.22 ABC_transporter_transmembrane_region
PF06472.14 ABC_transporter_transmembrane_region_2
PF13748.5 ABC_transporter_transmembrane_region
PF04392.11 ABC_transporter_substrate_binding_protein
PF00005.26 ABC_transporter
PF09822.8 ABC-type_uncharacterized_transport_system
PF03886.12 ABC-type_transport_auxiliary_lipoprotein_component
PF06541.10 Putative_ABC-transporter_type_IV
PF14510.5 ABC-transporter_extracellular_N-terminal
PF16949.4 Putative_ATP-binding_cassette
PF16326.4 ABC_transporter_C-terminal_domain
PF12848.6 ABC_transporter
PF12407.7 Homeobox_protein
PF05270.12 Alpha-L-arabinofuranosidase_B_(ABFB)_domain
PF03806.12 AbgT_putative_transporter_family
PF00561.19 alpha/beta_hydrolase_fold
PF02230.15 Phospholipase/Carboxylesterase
PF07859.12 alpha/beta_hydrolase_fold
PF08386.9 TAP-like_protein
PF12695.6 Alpha/beta_hydrolase_family
PF12697.6 Alpha/beta_hydrolase_family
PF12715.6 Abhydrolase_family
PF06259.11 Alpha/beta_hydrolase
PF10081.8 Alpha/beta-hydrolase_family
PF15420.5 Alpha/beta-hydrolase_family_N-terminus
PF04083.15 Partial_alpha/beta-hydrolase_lipase_region
PF02517.15 CAAX_protease_self-immunity
PF08843.10 Nucleotidyl_transferase_AbiEii_toxin,Type_IV_TA_system
PF09407.9 AbiEi_antitoxin_C-terminal_domain
PF09952.8 Transcriptional_regulator,AbiEi_antitoxin,Type_IV_TA_system
PF11459.7 Transcriptional_regulator,AbiEi_antitoxin,Type_IV_TA_system
PF17194.3 Transcriptional_regulator,AbiEi_antitoxin_N-terminal_domain
PF13338.5 Transcriptional_regulator,AbiEi_antitoxin
PF10899.7 Putative_abortive_phage_resistance_protein_AbiGi,antitoxin
PF16873.4 Putative_abortive_phage_resistance_protein_AbiGii_toxin
PF14253.5 Bacteriophage_abortive_infection_AbiH
PF07751.10 Abi-like_protein
PF14355.5 Abortive_infection_C-terminus
PF07815.13 Abl-interactor_HHR
PF16182.4 Putative_adherens-junction_anchoring_region_of_AbLIM
PF03992.15 Antibiotic_biosynthesis_monooxygenase
PF09441.9 ARS_binding_protein_2
PF05145.11 Transition_state_regulatory_protein_AbrB
PF14250.5 AbrB-like_transcriptional_regulator
PF07280.10 Per_os_infectivity_factor_AC110
PF05814.10 Orf76_(Ac76)
PF05820.10 Baculoviridae_AC81
PF16177.4 Acetyl-coenzyme_A_synthetase_N-terminus
PF13000.6 Acetyl-coenzyme_A_transporter_1
PF00887.18 Acyl_CoA_binding_protein
PF03255.13 Acetyl_co-enzyme_A_carboxylase_carboxyltransferase_alpha_subunit
PF08326.11 Acetyl-CoA_carboxylase,central_region
PF13822.5 Acyl-CoA_carboxylase_epsilon_subunit
PF16671.4 Actin_cross-linking_domain
PF14733.5 AP2-coincident_C-terminal
PF06315.10 Isocitrate_dehydrogenase_kinase/phosphatase_(AceK)
PF00871.16 Acetokinase_family
PF09290.10 Prokaryotic_acetaldehyde_dehydrogenase,dimerisation
PF08882.10 Acetone_carboxylase_gamma_subunit
PF02550.14 Acetyl-CoA_hydrolase/transferase_N-terminal_domain
PF13336.5 Acetyl-CoA_hydrolase/transferase_C-terminal_domain
PF00583.24 Acetyltransferase_(GNAT)_family
PF13673.6 Acetyltransferase_(GNAT)_domain
PF13720.5 Udp_N-acetylglucosamine_O-acyltransferase;_Domain_2
PF13880.5 ESCO1/2_acetyl-transferase
PF03421.15 YopJ_Serine/Threonine_acetyltransferase
PF17013.4 Putative_acetyl-transferase
PF05301.10 GNAT_acetyltransferase,Mec-17
PF00797.16 N-acetyltransferase
PF13302.6 Acetyltransferase_(GNAT)_domain
PF13420.6 Acetyltransferase_(GNAT)_domain
PF13444.5 Acetyltransferase_(GNAT)_domain
PF13480.6 Acetyltransferase_(GNAT)_domain
PF13508.6 Acetyltransferase_(GNAT)_domain
PF13523.5 Acetyltransferase_(GNAT)_domain
PF13527.6 Acetyltransferase_(GNAT)_domain
PF14542.5 GCN5-related_N-acetyl-transferase
PF08674.9 Acetylcholinesterase_tetramerisation_domain
PF15270.5 Metallo-carboxypeptidase_inhibitor
PF03767.13 HAD_superfamily,subfamily_IIIB_(Acid_phosphatase)
PF12689.6 Acid_Phosphatase
PF05054.11 Autographa_californica_nuclear_polyhedrosis_virus_(AcMNPV)_protein
PF00330.19 Aconitase_family_(aconitate_hydratase)
PF06434.12 Aconitate_hydratase_2_N-terminus
PF11791.7 Aconitate_B_N-terminal_domain
PF00694.18 Aconitase_C-terminal_domain
PF01756.18 Acyl-CoA_oxidase
PF06857.10 Malonate_decarboxylase_delta_subunit_(MdcD)
PF05777.11 Drosophila_accessory_gland-specific_peptide_26Ab_(Acp26Ab)
PF06313.10 Drosophila_ACP53EA_protein
PF01648.19 4'-phosphopantetheinyl_transferase_superfamily
PF04336.11 Acyl_carrier_protein_phosphodiesterase
PF08545.9 3-Oxoacyl-[acyl-carrier-protein_(ACP)]_synthase_III
PF08541.9 3-Oxoacyl-[acyl-carrier-protein_(ACP)]_synthase_III_C_terminal
PF10766.8 Multidrug_efflux_pump-associated_protein_AcrZ
PF00873.18 AcrB/AcrD/AcrF_family
PF01842.24 ACT_domain
PF09192.9 Actin-fragmin_kinase,catalytic
PF05058.11 ActA_Protein
PF16102.4 ACTH-associated_domain
PF00976.17 Corticotropin_ACTH_domain
PF00022.18 Actin
PF14408.5 Ribosomally_synthesised_peptide_in_actinomycetes
PF17003.4 Putative_actin-like_family
PF11657.7 Transcriptional_activator_TraM
PF11498.7 Transcriptional_activator_LAG-3
PF01064.22 Activin_types_I_and_II_receptor_domain
PF16840.4 Actin-like_protein_7A_N-terminus
PF10000.8 ACT_domain
PF13291.5 ACT_domain
PF13710.5 ACT_domain
PF13740.5 ACT_domain
PF13840.5 ACT_domain
PF01643.16 Acyl-ACP_thioesterase
PF00441.23 Acyl-CoA_dehydrogenase,C-terminal_domain
PF08028.10 Acyl-CoA_dehydrogenase,C-terminal_domain
PF12806.6 Acetyl-CoA_dehydrogenase_C-terminal_like
PF02770.18 Acyl-CoA_dehydrogenase,middle_domain
PF02771.15 Acyl-CoA_dehydrogenase,N-terminal_domain
PF14749.5 Acyl-coenzyme_A_oxidase_N-terminal
PF12590.7 Acyl-ATP_thioesterase
PF12186.7 Acyl-CoA_dehydrogenase_C_terminal
PF12418.7 Acyl-CoA_dehydrogenase_N_terminal
PF00708.17 Acylphosphatase
PF01553.20 Acyltransferase
PF16076.4 Acyltransferase_C-terminus
PF02551.14 Acyl-CoA_thioesterase
PF00698.20 Acyl_transferase_domain
PF02273.14 Acyl_transferase
PF01757.21 Acyltransferase_family
PF16214.4 Adenylyl_cyclase_N-terminal_extracellular_and_transmembrane_region
PF09793.8 Anticodon-binding_domain
PF10198.8 Histone_acetyltransferases_subunit_3
PF16698.4 Membrane-proximal_domain,switch,for_ADAM17
PF08516.11 ADAM_cysteine-rich
PF05986.13 ADAM-TS_Spacer_1
PF10199.8 Alpha_and_gamma_adaptin_binding_protein_p34
PF01602.19 Adaptin_N_terminal_region
PF00928.20 Adaptor_complexes_medium_subunit_family
PF02805.15 Metal_binding_domain_of_Ada
PF06314.10 Acetoacetate_decarboxylase_(ADC)
