Accession	Name	Function	Isology Type	EC Number
TIGR00001	rpmI_bact	ribosomal protein bL35	equivalog	
TIGR00002	S16	ribosomal protein bS16	equivalog	
TIGR00003	TIGR00003	copper ion binding protein	subfamily_domain	
TIGR00004	TIGR00004	reactive intermediate/imine deaminase	subfamily	
TIGR00005	rluA_subfam	pseudouridine synthase, RluA family	subfamily	5.4.99.-
TIGR00006	TIGR00006	16S rRNA (cytosine(1402)-N(4))-methyltransferase	equivalog	2.1.1.199
TIGR00007	TIGR00007	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase	equivalog	5.3.1.16
TIGR00008	infA	translation initiation factor IF-1	equivalog	
TIGR00009	L28	ribosomal protein bL28	equivalog	
TIGR00010	TIGR00010	hydrolase, TatD family	subfamily	
TIGR00011	YbaK_EbsC	Cys-tRNA(Pro) deacylase	hypoth_equivalog	3.6.1.-
TIGR00012	L29	ribosomal protein uL29	equivalog	
TIGR00013	taut	4-oxalocrotonate tautomerase family enzyme	subfamily	5.3.2.-
TIGR00014	arsC	arsenate reductase (glutaredoxin)	equivalog	1.20.4.1
TIGR00016	ackA	acetate kinase	equivalog	2.7.2.1
TIGR00017	cmk	cytidylate kinase	equivalog	2.7.4.14
TIGR00018	panC	pantoate--beta-alanine ligase	equivalog	6.3.2.1
TIGR00019	prfA	peptide chain release factor 1	equivalog	
TIGR00020	prfB	peptide chain release factor 2	equivalog	
TIGR00021	rpiA	ribose 5-phosphate isomerase A	equivalog	5.3.1.6
TIGR00022	TIGR00022	YhcH/YjgK/YiaL family protein	subfamily	
TIGR00023	TIGR00023	acyl-phosphate glycerol 3-phosphate acyltransferase	equivalog	2.3.1.-
TIGR00024	SbcD_rel_arch	putative phosphoesterase	hypoth_equivalog	3.1.-.-
TIGR00025	Mtu_efflux	ABC transporter efflux protein, DrrB family	paralog	
TIGR00026	hi_GC_TIGR00026	deazaflavin-dependent oxidoreductase, nitroreductase family	subfamily	
TIGR00027	mthyl_TIGR00027	methyltransferase, TIGR00027 family	subfamily	2.1.1.-
TIGR00028	Mtu_PIN_fam	toxin-antitoxin system PIN domain toxin	subfamily	
TIGR00029	S20	ribosomal protein bS20	equivalog	
TIGR00030	S21p	ribosomal protein bS21	equivalog	
TIGR00031	UDP-GALP_mutase	UDP-galactopyranose mutase	equivalog	5.4.99.9
TIGR00032	argG	argininosuccinate synthase	equivalog	6.3.4.5
TIGR00033	aroC	chorismate synthase	equivalog	4.2.3.5
TIGR00034	aroFGH	3-deoxy-7-phosphoheptulonate synthase	equivalog	2.5.1.54
TIGR00035	asp_race	aspartate racemase	subfamily	5.1.1.13
TIGR00036	dapB	4-hydroxy-tetrahydrodipicolinate reductase	equivalog	1.17.1.8
TIGR00037	eIF_5A	translation elongation factor IF5A	equivalog	
TIGR00038	efp	translation elongation factor P	equivalog	
TIGR00039	6PTHBS	6-pyruvoyl tetrahydropterin synthase/QueD family protein	subfamily	
TIGR00040	yfcE	phosphodiesterase, MJ0936 family	subfamily	3.1.-.-
TIGR00041	DTMP_kinase	dTMP kinase	equivalog	2.7.4.9
TIGR00042	TIGR00042	non-canonical purine NTP pyrophosphatase, RdgB/HAM1 family	equivalog	3.6.1.-
TIGR00043	TIGR00043	rRNA maturation RNase YbeY	equivalog	
TIGR00044	TIGR00044	pyridoxal phosphate enzyme, YggS family	hypoth_equivalog	
TIGR00045	TIGR00045	glycerate kinase	subfamily	2.7.1.31
TIGR00046	TIGR00046	RNA methyltransferase, RsmE family	subfamily	2.1.1.-
TIGR00048	rRNA_mod_RlmN	23S rRNA (adenine(2503)-C(2))-methyltransferase	equivalog	2.1.1.192
TIGR00049	TIGR00049	iron-sulfur cluster assembly accessory protein	subfamily	
TIGR00050	rRNA_methyl_1	RNA methyltransferase, TrmH family, group 1	subfamily	2.1.1.-
TIGR00051	TIGR00051	acyl-CoA thioester hydrolase, YbgC/YbaW family	subfamily	
TIGR00052	TIGR00052	nudix-type nucleoside diphosphatase, YffH/AdpP family	subfamily	3.6.1.-
TIGR00053	TIGR00053	addiction module toxin component, YafQ family	subfamily	
TIGR00054	TIGR00054	RIP metalloprotease RseP	equivalog	3.4.24.-
TIGR00055	uppS	di-trans,poly-cis-decaprenylcistransferase	equivalog	2.5.1.31
TIGR00056	TIGR00056	ABC transport permease subunit	subfamily	
TIGR00057	TIGR00057	tRNA threonylcarbamoyl adenosine modification protein, Sua5/YciO/YrdC/YwlC family	equivalog	
TIGR00058	Hemerythrin	hemerythrin family non-heme iron protein	subfamily	
TIGR00059	L17	ribosomal protein bL17	equivalog	
TIGR00060	L18_bact	ribosomal protein uL18	equivalog	
TIGR00061	L21	ribosomal protein bL21	equivalog	
TIGR00062	L27	ribosomal protein bL27	equivalog	
TIGR00063	folE	GTP cyclohydrolase I	equivalog	3.5.4.16
TIGR00064	ftsY	signal recognition particle-docking protein FtsY	equivalog	
TIGR00065	ftsZ	cell division protein FtsZ	equivalog	
TIGR00066	g_glut_trans	gamma-glutamyltransferase	equivalog	2.3.2.2
TIGR00067	glut_race	glutamate racemase	equivalog	5.1.1.3
TIGR00068	glyox_I	lactoylglutathione lyase	equivalog	4.4.1.5
TIGR00069	hisD	histidinol dehydrogenase	equivalog_domain	1.1.1.23
TIGR00070	hisG	ATP phosphoribosyltransferase	equivalog	2.4.2.17
TIGR00071	hisT_truA	tRNA pseudouridine(38-40) synthase	equivalog	5.4.99.12
TIGR00072	hydrog_prot	hydrogenase maturation protease	superfamily	
TIGR00073	hypB	hydrogenase accessory protein HypB	equivalog	
TIGR00074	hypC_hupF	hydrogenase assembly chaperone HypC/HupF	equivalog	
TIGR00075	hypD	hydrogenase expression/formation protein HypD	equivalog	
TIGR00077	lspA	signal peptidase II	equivalog	3.4.23.36
TIGR00078	nadC	nicotinate-nucleotide diphosphorylase (carboxylating)	equivalog	2.4.2.19
TIGR00079	pept_deformyl	peptide deformylase	equivalog	3.5.1.88
TIGR00080	pimt	protein-L-isoaspartate O-methyltransferase	equivalog	2.1.1.77
TIGR00081	purC	phosphoribosylaminoimidazolesuccinocarboxamide synthase	equivalog	6.3.2.6
TIGR00082	rbfA	ribosome-binding factor A	equivalog	
TIGR00083	ribF	riboflavin biosynthesis protein RibF	equivalog	2.7.1.26 2.7.7.2
TIGR00084	ruvA	Holliday junction DNA helicase RuvA	equivalog	3.6.4.12
TIGR00086	smpB	SsrA-binding protein	equivalog	
TIGR00087	surE	5'/3'-nucleotidase SurE	equivalog	3.1.3.5 3.1.3.6
TIGR00088	trmD	tRNA (guanine(37)-N(1))-methyltransferase	equivalog	2.1.1.228
TIGR00089	TIGR00089	radical SAM methylthiotransferase, MiaB/RimO family	subfamily	2.1.1.- 2.8.1.-
TIGR00090	rsfS_iojap_ybeB	ribosome silencing factor	equivalog	
TIGR00091	TIGR00091	tRNA (guanine-N(7)-)-methyltransferase	equivalog	2.1.1.33
TIGR00092	TIGR00092	GTP-binding protein YchF	hypoth_equivalog	
TIGR00093	TIGR00093	pseudouridine synthase	subfamily	5.4.99.-
TIGR00094	tRNA_TruD_broad	tRNA pseudouridine synthase, TruD family	subfamily	5.4.99.-
TIGR00095	TIGR00095	16S rRNA (guanine(966)-N(2))-methyltransferase RsmD	equivalog	2.1.1.171
TIGR00096	TIGR00096	16S rRNA (cytidine(1402)-2'-O)-methyltransferase	equivalog	2.1.1.198
TIGR00097	HMP-P_kinase	hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase	equivalog_domain	2.7.1.49 2.7.4.7
TIGR00099	Cof-subfamily	Cof-like hydrolase	subfamily	
TIGR00100	hypA	hydrogenase nickel insertion protein HypA	equivalog	
TIGR00101	ureG	urease accessory protein UreG	equivalog	
TIGR00103	DNA_YbaB_EbfC	DNA-binding protein, YbaB/EbfC family	equivalog	
TIGR00104	tRNA_TsaA	tRNA-Thr(GGU) m(6)t(6)A37 methyltransferase TsaA	equivalog	2.1.1.-
TIGR00105	L31	ribosomal protein bL31	equivalog	
TIGR00106	TIGR00106	uncharacterized protein, MTH1187 family	hypoth_equivalog	
TIGR00107	deoD	purine nucleoside phosphorylase	equivalog	2.4.2.1
TIGR00108	eRF	peptide chain release factor eRF/aRF, subunit 1	equivalog	
TIGR00109	hemH	ferrochelatase	equivalog	4.99.1.1
TIGR00110	ilvD	dihydroxy-acid dehydratase	equivalog	4.2.1.9
TIGR00111	pelota	mRNA surveillance protein pelota	equivalog	
TIGR00112	proC	pyrroline-5-carboxylate reductase	equivalog	1.5.1.2
TIGR00113	queA	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	equivalog	2.4.99.17
TIGR00114	lumazine-synth	6,7-dimethyl-8-ribityllumazine synthase	equivalog	2.5.1.78
TIGR00115	tig	trigger factor	equivalog	5.2.1.8
TIGR00116	tsf	translation elongation factor Ts	equivalog	
TIGR00117	acnB	aconitate hydratase 2	equivalog	4.2.1.3
TIGR00118	acolac_lg	acetolactate synthase, large subunit, biosynthetic type	equivalog	2.2.1.6
TIGR00119	acolac_sm	acetolactate synthase, small subunit	equivalog	2.2.1.6
TIGR00120	ArgJ	glutamate N-acetyltransferase/amino-acid acetyltransferase	equivalog	2.3.1.35 2.3.1.1
TIGR00121	birA_ligase	biotin--[acetyl-CoA-carboxylase] ligase	equivalog_domain	6.3.4.15
