#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"candidate division TM7 single-cell isolate TM7a","Bacteria;unclassified Bacteria;Bacteria candidate phyla","","SAMN02441791","PRJNA19081","GCA_000170635.1","Scaffold",2.86436,34.3,,"ABBV01",8553,0,"2007-06-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/170/635/GCA_000170635.1_ASM17063v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/170/635/GCF_000170635.1_ASM17063v1"
"candidate division TM7 single-cell isolate TM7b","Bacteria;unclassified Bacteria;Bacteria candidate phyla","","SAMN02441781","PRJNA19083","GCA_000170655.1","Contig",0.112753,37,,"ABBW01",85,0,"2007-06-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/170/655/GCA_000170655.1_ASM17065v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/170/655/GCF_000170655.1_ASM17065v1"
"candidate division TM7 single-cell isolate TM7c","Bacteria;unclassified Bacteria;Bacteria candidate phyla","","SAMN02441782","PRJNA19085","GCA_000170675.1","Contig",0.474179,39.1,,"ABBX01",129,0,"2007-06-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/170/675/GCA_000170675.1_ASM17067v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/170/675/GCF_000170675.1_ASM17067v1"
"candidate division TM7 genomosp. GTL1","Bacteria;unclassified Bacteria;Bacteria candidate phyla","GTL1","SAMN02469743","PRJNA19421","GCA_000169295.1","Contig",0.679415,48.5,,"AAXS01",132,684,"2007-05-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/169/295/GCA_000169295.1_ASM16929v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/169/295/GCF_000169295.1_ASM16929v1"
"Candidatus Poribacteria bacterium WGA-A3","Bacteria;unclassified Bacteria;Bacteria candidate phyla","WGA-A3","SAMN02472029","PRJEA42397","GCA_000177275.2","Contig",0.413938,48.7,,"ADFK02",158,0,"2010-01-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/177/275/GCA_000177275.2_ASM17727v2",
"Candidatus Poribacteria bacterium WGA-4E","Bacteria;unclassified Bacteria;Bacteria candidate phyla","WGA-4E","SAMN02256499","PRJNA66473","GCA_000372285.1","Contig",3.64767,49.5,,"AQTV01",521,0,"2013-04-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/372/285/GCA_000372285.1_ASM37228v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/372/285/GCF_000372285.1_ASM37228v1"
"Candidatus Poribacteria bacterium WGA-4G","Bacteria;unclassified Bacteria;Bacteria candidate phyla","WGA-4G","SAMN02256513","PRJNA66475","GCA_000364585.1","Contig",0.189191,47.3,,"AQPC01",15,0,"2013-04-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/364/585/GCA_000364585.1_ASM36458v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/364/585/GCF_000364585.1_ASM36458v1"
"Candidatus Poribacteria bacterium WGA-4C","Bacteria;unclassified Bacteria;Bacteria candidate phyla","WGA-4C","SAMN02472028","PRJNA66477","GCA_000401015.1","Contig",1.62966,40.9,,"APGO01",276,0,"2013-05-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/401/015/GCA_000401015.1_WGA-4C","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/401/015/GCF_000401015.1_WGA-4C"
"Candidatus Methylomirabilis oxyfera","Bacteria;unclassified Bacteria;Bacteria candidate phyla","","SAMEA3138294","PRJNA40193","GCA_000091165.1","Complete",2.75285,58.6,"chromosome:FP565575.1",,1,3072,"2009-09-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/165/GCA_000091165.1_ASM9116v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/091/165/GCF_000091165.1_ASM9116v1"
"candidate division TM7 bacterium JGI 0001002-L20","Bacteria;unclassified Bacteria;Bacteria candidate phyla","JGI 0001002-L20","SAMN02440694","PRJNA176055","GCA_000463895.2","Contig",0.752653,46.4,,"AUNW02",68,0,"2013-07-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/463/895/GCA_000463895.2_ASM46389v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/463/895/GCF_000463895.1_ASM46389v2"
"candidate division SR1 bacterium MGEHA","Bacteria;unclassified Bacteria;Bacteria candidate phyla","MGEHA","SAMN02470745","PRJNA189303","GCA_000350285.1","Contig",1.10971,35.7,,"AOTF01",62,0,"2013-04-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/350/285/GCA_000350285.1_OR1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/350/285/GCF_000350285.1_OR1"
"Candidatus Saccharimonas aalborgensis","Bacteria;unclassified Bacteria;Bacteria candidate phyla","","SAMN02602963","PRJNA201542","GCA_000392435.1","Complete",1.01378,48.5,"chromosome:NC_021219.1/CP005957.1",,1,1017,"2013-05-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/392/435/GCA_000392435.1_ASM39243v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/392/435/GCF_000392435.1_ASM39243v1"
